0	6	9.7	12	11.7	21.5	24.2	25.7	35.9	36	30.6	39.4	42	37.2	41.8	41.7	50	53
6	0	1.7	7.3	4	15	17.3	18.7	29	29.2	25	32.5	35	31.2	35	35	43.5	46.7
9.7	1.7	0	4	0.9	10.8	12.8	15.5	25.7	25.8	22.3	29.1	31.65	28.2	32	32.5	40.4	43.7
12	7.3	4	0	0.8	1.33	3.2	5	16	16	10.4	18	20.6	18.7	19.9	20.5	28.4	32.2
11.7	4	1.15	0.8	0	1.3	10	12	23	22	10.5	24.1	26.8	14	21	20	32	30.7
21.5	15	10.8	1.33	1.3	0	1.4	3.2	13.4	13.5	14.5	16.85	19.4	23.7	22.3	24	28.4	35.5
24.2	17.3	12.8	3.2	10	1.4	0	1.3	11	11.6	13	15	17.6	23	20.9	22.8	26.6	34
25.7	18.7	15.5	5	12	3.2	1.3	0	7	9	7.5	10	13	17.7	13.6	16.7	21.3	27.85
35.9	29	25.7	16	23	13.4	11	7	0	1.4	12	3	6	21.5	12.4	16.1	15	25.6
36	29.2	25.8	16	22	13.5	11.6	9	1.4	0	14.7	3.8	3.7	23.8	14.5	18.3	13.5	27.6
30.6	25	22.3	10.4	10.5	14.5	13	7.5	12	14.7	0	13.4	15.7	6	8.8	8.6	20.2	19.6
39.4	32.5	29.1	18	24.1	16.85	15	10	3	3.8	13.4	0	2.3	21.7	10.8	15	11.3	23
42	35	31.65	20.6	26.8	19.4	17.6	13	6	3.7	15.7	2.3	0	23.3	11.5	15.9	9.1	22.8
37.2	31.2	28.2	18.7	14	23.7	23	17.7	21.5	23.8	6	21.7	23.3	0	11.7	7.1	24.5	15.5
41.8	35	32	19.9	21	22.3	20.9	13.6	12.4	14.5	8.8	10.8	11.5	11.7	0	2.6	11.5	12.3
41.7	35	32.5	20.5	20	24	22.8	16.7	16.1	18.3	8.6	15	15.9	7.1	2.6	0	14.9	10
50	43.5	40.4	28.4	32	28.4	26.6	21.3	15	13.5	20.2	11.3	9.1	24.5	11.5	14.9	0	15
53	46.7	43.7	32.2	30.7	35.5	34	27.85	25.6	27.6	19.6	23	22.8	15.5	12.3	10	15	0

