SIERRAS,Los Difuntos,Valdez,La Brava,Volcan,Vigilancia,Volcancito,Paulino,Bachicha,Difuntito,Cinco Cerros,Barrosa,La Paja,Piedra Alta,Los Pinos,Amarante,La Chata,El Morro,La Larga
Los Difuntos,0.00,6.00,9.70,12.00,11.70,21.50,24.20,25.70,35.90,36.00,30.60,39.40,42.00,37.20,41.80,41.70,50.00,53.00
Valdez,6.00,0.00,1.70,7.30,4.00,15.00,17.30,18.70,29.00,29.20,25.00,32.50,35.00,31.20,35.00,35.00,43.50,46.7
La Brava,9.70,1.70,0.00,4.00,0.90,10.80,12.80,15.50,25.70,25.80,22.30,29.10,31.65,28.20,32.00,32.50,40.40,43.70
Volcan,12.00,7.30,4.00,0.00,0.80,1.33,3.20,5.00,16.00,16.00,10.40,18.00,20.60,18.70,19.90,20.50,28.40,32.20
Vigilancia,11.70,4.00,1.15,0.80,0.00,1.30,10.00,12.00,23.00,22.00,10.50,24.10,26.80,14.00,21.00,20.00,32.00,30.70
Volcancito,21.50,15.00,10.80,1.33,1.30,0.00,1.40,3.20,13.40,13.50,14.50,16.85,19.40,23.70,22.30,24.00,28.40,35.5
Paulino,24.20,17.30,12.80,3.20,10.00,1.40,0.00,1.30,11.00,11.60,13.00,15.00,17.60,23.00,20.90,22.80,26.60,34
Bachicha,25.70,18.70,15.50,5.00,12.00,3.20,1.30,0.00,7.00,9.00,7.50,10.00,13.00,17.70,13.60,16.70,21.30,27.85
Difuntito,35.90,29.00,25.70,16.00,23.00,13.40,11.00,7.00,0.00,1.40,12.00,3.00,6.00,21.50,12.40,16.10,15.00,25.60
Cinco Cerros,36.00,29.20,25.80,16.00,22.00,13.50,11.60,9.00,1.40,0.00,14.70,3.80,3.70,23.80,14.50,18.30,13.50,27.60
Barrosa,30.60,25.00,22.30,10.40,10.50,14.50,13.00,7.50,12.00,14.70,0.00,13.40,15.70,6.00,8.80,8.60,20.20,19.60
Co. La Paja,39.40,32.50,29.10,18.00,24.10,16.85,15.00,10.00,3.00,3.80,13.40,0.00,2.30,21.70,10.80,15.00,11.30,23.00
Co. Piedra Alta,42.00,35.00,31.65,20.60,26.80,19.40,17.60,13.00,6.00,3.70,15.70,2.30,0.00,23.30,11.50,15.90,9.10,22.80
Los Pinos,37.20,31.20,28.20,18.70,14.00,23.70,23.00,17.70,21.50,23.80,6.00,21.70,23.30,0.00,11.70,7.10,24.50,15.5
Co. Amarante,41.80,35.00,32.00,19.90,21.00,22.30,20.90,13.60,12.40,14.50,8.80,10.80,11.50,11.70,0.00,2.60,11.50,12.30
Sa. La Chata,41.70,35.00,32.50,20.50,20.00,24.00,22.80,16.70,16.10,18.30,8.60,15.00,15.90,7.10,2.60,0.00,14.90,10.00
Co. El Morro,50.00,43.50,40.40,28.40,32.00,28.40,26.60,21.30,15.00,13.50,20.20,11.30,9.10,24.50,11.50,14.90,0.00,15.00
La Larga,53.00,46.70,43.70,32.20,30.70,35.50,34.00,27.85,25.60,27.60,19.60,23.00,22.80,15.50,12.30,10.00,15.00,0.00
